subgraph,count
<http://www.wikidata.org/entity/Q3052382>,16
<http://www.wikidata.org/entity/Q34038>,351
<http://www.wikidata.org/entity/Q9842>,672
<http://www.wikidata.org/entity/Q174782>,44957
<http://www.wikidata.org/entity/Q3914>,4454
<http://www.wikidata.org/entity/Q13406554>,245
<http://www.wikidata.org/entity/Q24529780>,75
<http://www.wikidata.org/entity/Q1303167>,16
<http://www.wikidata.org/entity/Q618779>,1099
<http://www.wikidata.org/entity/Q2514025>,915
<http://www.wikidata.org/entity/Q732577>,513
<http://www.wikidata.org/entity/Q49008>,2333
<http://www.wikidata.org/entity/Q1266946>,6
<http://www.wikidata.org/entity/Q2668072>,2042
<http://www.wikidata.org/entity/Q11060274>,3921
<http://www.wikidata.org/entity/Q19389637>,754
<http://www.wikidata.org/entity/Q18761202>,848
<http://www.wikidata.org/entity/Q14204246>,121132
<http://www.wikidata.org/entity/Q7321974>,4
<http://www.wikidata.org/entity/Q5633421>,42166
<http://www.wikidata.org/entity/Q179049>,132
<http://www.wikidata.org/entity/Q2085381>,7240
<http://www.wikidata.org/entity/Q953806>,239
<http://www.wikidata.org/entity/Q928830>,1139
<http://www.wikidata.org/entity/Q571>,21397
<http://www.wikidata.org/entity/Q27686>,536
<http://www.wikidata.org/entity/Q160091>,237
<http://www.wikidata.org/entity/Q5783996>,16
<http://www.wikidata.org/entity/Q1115575>,3238
<http://www.wikidata.org/entity/Q24046192>,71
<http://www.wikidata.org/entity/Q2151232>,3825
<http://www.wikidata.org/entity/Q11879590>,3176
<http://www.wikidata.org/entity/Q21014462>,4330
<http://www.wikidata.org/entity/Q2593777>,14
<http://www.wikidata.org/entity/Q39614>,805
<http://www.wikidata.org/entity/Q5707594>,40
<http://www.wikidata.org/entity/Q22698>,1132
<http://www.wikidata.org/entity/Q852190>,355
<http://www.wikidata.org/entity/Q12323>,109
<http://www.wikidata.org/entity/Q34770>,33228
<http://www.wikidata.org/entity/Q15243209>,380
<http://www.wikidata.org/entity/Q5>,2734598
