subgraph,ua_count
<http://www.wikidata.org/entity/Q489357>,145
<http://www.wikidata.org/entity/Q13417114>,188
<http://www.wikidata.org/entity/Q585956>,79
<http://www.wikidata.org/entity/Q55659107>,44
<http://www.wikidata.org/entity/Q740445>,98
<http://www.wikidata.org/entity/Q21199>,245
<http://www.wikidata.org/entity/Q125191>,450
<http://www.wikidata.org/entity/Q134556>,1717
<http://www.wikidata.org/entity/Q18127>,366
<http://www.wikidata.org/entity/Q4167410>,13818
<http://www.wikidata.org/entity/Q30198>,125
<http://www.wikidata.org/entity/Q55850593>,202
<http://www.wikidata.org/entity/Q67015883>,1287
<http://www.wikidata.org/entity/Q79007>,611
<http://www.wikidata.org/entity/Q965568>,196
<http://www.wikidata.org/entity/Q294414>,373
<http://www.wikidata.org/entity/Q8054>,234659
<http://www.wikidata.org/entity/Q187971>,92
<http://www.wikidata.org/entity/Q106474968>,15
<http://www.wikidata.org/entity/Q31855>,577
<http://www.wikidata.org/entity/Q8502>,635
<http://www.wikidata.org/entity/Q847017>,305
<http://www.wikidata.org/entity/Q773668>,436
<http://www.wikidata.org/entity/Q2341654>,60
<http://www.wikidata.org/entity/Q898273>,38484
<http://www.wikidata.org/entity/Q7278>,4073
<http://www.wikidata.org/entity/Q235557>,7701
<http://www.wikidata.org/entity/Q44613>,361
<http://www.wikidata.org/entity/Q35509>,154
<http://www.wikidata.org/entity/Q169930>,212
<http://www.wikidata.org/entity/Q43460564>,53
<http://www.wikidata.org/entity/Q100532807>,16
<http://www.wikidata.org/entity/Q3305213>,1873
<http://www.wikidata.org/entity/Q105543609>,550
<http://www.wikidata.org/entity/Q358>,393
<http://www.wikidata.org/entity/Q104093746>,44
<http://www.wikidata.org/entity/Q2467461>,137
<http://www.wikidata.org/entity/Q1520033>,7662
<http://www.wikidata.org/entity/Q634099>,214
<http://www.wikidata.org/entity/Q23397>,448
<http://www.wikidata.org/entity/Q820477>,268
<http://www.wikidata.org/entity/Q19855165>,40
<http://www.wikidata.org/entity/Q34763>,298
<http://www.wikidata.org/entity/Q1134686>,405
<http://www.wikidata.org/entity/Q12280>,237
<http://www.wikidata.org/entity/Q3918>,3565
<http://www.wikidata.org/entity/Q51591359>,37
<http://www.wikidata.org/entity/Q2231510>,41
<http://www.wikidata.org/entity/Q56436498>,296
<http://www.wikidata.org/entity/Q1577547>,87
<http://www.wikidata.org/entity/Q420927>,60
<http://www.wikidata.org/entity/Q11424>,251420
<http://www.wikidata.org/entity/Q811979>,555
<http://www.wikidata.org/entity/Q17524420>,336
<http://www.wikidata.org/entity/Q1497375>,340
<http://www.wikidata.org/entity/Q2065736>,399
<http://www.wikidata.org/entity/Q473972>,410
<http://www.wikidata.org/entity/Q93184>,264
<http://www.wikidata.org/entity/Q13433827>,228
<http://www.wikidata.org/entity/Q23413>,520
<http://www.wikidata.org/entity/Q43229>,2030
<http://www.wikidata.org/entity/Q2996394>,124415
<http://www.wikidata.org/entity/Q1505023>,20
<http://www.wikidata.org/entity/Q189004>,210
<http://www.wikidata.org/entity/Q96739634>,21
<http://www.wikidata.org/entity/Q191067>,176
<http://www.wikidata.org/entity/Q207524>,100
<http://www.wikidata.org/entity/Q1195098>,151
<http://www.wikidata.org/entity/Q192287>,398
<http://www.wikidata.org/entity/Q783794>,541
<http://www.wikidata.org/entity/Q1002697>,482
<http://www.wikidata.org/entity/Q178561>,310
<http://www.wikidata.org/entity/Q575759>,170
<http://www.wikidata.org/entity/Q67015940>,13
<http://www.wikidata.org/entity/Q486972>,1708
