subgraph,query_time_class,count
<http://www.wikidata.org/entity/Q56436498>,4_1s_to_10s,6106
<http://www.wikidata.org/entity/Q131681>,1_less_10ms,326
<http://www.wikidata.org/entity/Q65954115>,5_more_10s,5
<http://www.wikidata.org/entity/Q1348305>,2_10ms_to_100ms,8818
<http://www.wikidata.org/entity/Q23413>,2_10ms_to_100ms,79445
<http://www.wikidata.org/entity/Q1302249>,4_1s_to_10s,113
<http://www.wikidata.org/entity/Q28564>,2_10ms_to_100ms,18733
<http://www.wikidata.org/entity/Q5398426>,5_more_10s,40617
<http://www.wikidata.org/entity/Q43460564>,4_1s_to_10s,68
<http://www.wikidata.org/entity/Q12308941>,1_less_10ms,2047
<http://www.wikidata.org/entity/Q59199015>,5_more_10s,156
<http://www.wikidata.org/entity/Q155076>,3_100ms_to_1s,61568
<http://www.wikidata.org/entity/Q575759>,3_100ms_to_1s,6022
<http://www.wikidata.org/entity/Q11424>,4_1s_to_10s,63553
<http://www.wikidata.org/entity/Q26895936>,3_100ms_to_1s,1609
<http://www.wikidata.org/entity/Q23925393>,3_100ms_to_1s,933
<http://www.wikidata.org/entity/Q102496>,4_1s_to_10s,2737
<http://www.wikidata.org/entity/Q7321974>,5_more_10s,3
<http://www.wikidata.org/entity/Q134556>,2_10ms_to_100ms,350510
<http://www.wikidata.org/entity/Q473972>,2_10ms_to_100ms,52449
<http://www.wikidata.org/entity/Q6999>,4_1s_to_10s,14036
<http://www.wikidata.org/entity/Q27686>,2_10ms_to_100ms,40420
<http://www.wikidata.org/entity/Q19860854>,5_more_10s,71
<http://www.wikidata.org/entity/Q585956>,5_more_10s,12
<http://www.wikidata.org/entity/Q1303167>,3_100ms_to_1s,1421
<http://www.wikidata.org/entity/Q12317349>,1_less_10ms,58
<http://www.wikidata.org/entity/Q51591359>,1_less_10ms,1
<http://www.wikidata.org/entity/Q294414>,2_10ms_to_100ms,155731
<http://www.wikidata.org/entity/Q34763>,3_100ms_to_1s,9573
<http://www.wikidata.org/entity/Q16560>,4_1s_to_10s,9975
<http://www.wikidata.org/entity/Q4167410>,5_more_10s,5862
<http://www.wikidata.org/entity/Q11879590>,2_10ms_to_100ms,113865
<http://www.wikidata.org/entity/Q10870555>,2_10ms_to_100ms,6597
<http://www.wikidata.org/entity/Q191067>,3_100ms_to_1s,6467
<http://www.wikidata.org/entity/Q11446>,2_10ms_to_100ms,64878
<http://www.wikidata.org/entity/Q34770>,3_100ms_to_1s,127940
<http://www.wikidata.org/entity/Q33506>,3_100ms_to_1s,61173
<http://www.wikidata.org/entity/Q61443690>,2_10ms_to_100ms,4384
<http://www.wikidata.org/entity/Q12323>,5_more_10s,48
<http://www.wikidata.org/entity/Q189004>,5_more_10s,47
<http://www.wikidata.org/entity/Q46135307>,1_less_10ms,44
<http://www.wikidata.org/entity/Q18593264>,4_1s_to_10s,16445
<http://www.wikidata.org/entity/Q27020041>,1_less_10ms,1028
<http://www.wikidata.org/entity/Q575759>,4_1s_to_10s,6335
<http://www.wikidata.org/entity/Q452237>,2_10ms_to_100ms,259
<http://www.wikidata.org/entity/Q187223>,2_10ms_to_100ms,5792
<http://www.wikidata.org/entity/Q34442>,3_100ms_to_1s,61289
<http://www.wikidata.org/entity/Q965568>,2_10ms_to_100ms,77523
<http://www.wikidata.org/entity/Q839954>,4_1s_to_10s,13943
<http://www.wikidata.org/entity/Q3257686>,4_1s_to_10s,11680
<http://www.wikidata.org/entity/Q11266439>,2_10ms_to_100ms,118294
<http://www.wikidata.org/entity/Q39816>,3_100ms_to_1s,6285
<http://www.wikidata.org/entity/Q67015883>,4_1s_to_10s,110
<http://www.wikidata.org/entity/Q473972>,5_more_10s,763
<http://www.wikidata.org/entity/Q4167836>,5_more_10s,5220
<http://www.wikidata.org/entity/Q839954>,3_100ms_to_1s,36386
<http://www.wikidata.org/entity/Q3257686>,5_more_10s,592
<http://www.wikidata.org/entity/Q506240>,4_1s_to_10s,2994
<http://www.wikidata.org/entity/Q13406463>,2_10ms_to_100ms,970613
<http://www.wikidata.org/entity/Q3914>,2_10ms_to_100ms,68130
<http://www.wikidata.org/entity/Q15221623>,2_10ms_to_100ms,19629
<http://www.wikidata.org/entity/Q1303167>,2_10ms_to_100ms,1426
<http://www.wikidata.org/entity/Q19855165>,4_1s_to_10s,208
<http://www.wikidata.org/entity/Q159334>,1_less_10ms,233
<http://www.wikidata.org/entity/Q34763>,1_less_10ms,301
<http://www.wikidata.org/entity/Q1266946>,1_less_10ms,11
<http://www.wikidata.org/entity/Q2309609>,2_10ms_to_100ms,1550
<http://www.wikidata.org/entity/Q99045339>,4_1s_to_10s,138
<http://www.wikidata.org/entity/Q6503489>,4_1s_to_10s,48
<http://www.wikidata.org/entity/Q13417114>,2_10ms_to_100ms,25977
<http://www.wikidata.org/entity/Q532>,5_more_10s,494
<http://www.wikidata.org/entity/Q46135307>,4_1s_to_10s,447
<http://www.wikidata.org/entity/Q4022>,5_more_10s,591
<http://www.wikidata.org/entity/Q166735>,5_more_10s,4
<http://www.wikidata.org/entity/Q5358913>,5_more_10s,10
<http://www.wikidata.org/entity/Q220659>,2_10ms_to_100ms,13888
<http://www.wikidata.org/entity/Q30198>,1_less_10ms,36
<http://www.wikidata.org/entity/Q3305213>,1_less_10ms,5076
<http://www.wikidata.org/entity/Q41176>,5_more_10s,865
<http://www.wikidata.org/entity/Q16917>,4_1s_to_10s,12093
<http://www.wikidata.org/entity/Q811979>,5_more_10s,893
<http://www.wikidata.org/entity/Q47345468>,2_10ms_to_100ms,22545
<http://www.wikidata.org/entity/Q15303838>,2_10ms_to_100ms,18243
<http://www.wikidata.org/entity/Q13442814>,5_more_10s,4741
<http://www.wikidata.org/entity/Q4022>,3_100ms_to_1s,54508
<http://www.wikidata.org/entity/Q23038290>,2_10ms_to_100ms,117341
<http://www.wikidata.org/entity/Q5084>,5_more_10s,137
<http://www.wikidata.org/entity/Q1504425>,1_less_10ms,21
<http://www.wikidata.org/entity/Q459297>,3_100ms_to_1s,221
<http://www.wikidata.org/entity/Q185113>,1_less_10ms,146
<http://www.wikidata.org/entity/Q5>,2_10ms_to_100ms,37488989
<http://www.wikidata.org/entity/Q67015883>,2_10ms_to_100ms,19748
<http://www.wikidata.org/entity/Q4022>,4_1s_to_10s,15797
<http://www.wikidata.org/entity/Q44613>,4_1s_to_10s,11122
<http://www.wikidata.org/entity/Q19860854>,3_100ms_to_1s,9254
<http://www.wikidata.org/entity/Q14350>,4_1s_to_10s,3879
<http://www.wikidata.org/entity/Q737498>,1_less_10ms,931
<http://www.wikidata.org/entity/Q26887310>,5_more_10s,5
<http://www.wikidata.org/entity/Q159334>,3_100ms_to_1s,34950
<http://www.wikidata.org/entity/Q838948>,3_100ms_to_1s,172728
<http://www.wikidata.org/entity/Q59541917>,2_10ms_to_100ms,40984
<http://www.wikidata.org/entity/Q22808320>,5_more_10s,604
<http://www.wikidata.org/entity/Q17343829>,2_10ms_to_100ms,128445
<http://www.wikidata.org/entity/Q187685>,2_10ms_to_100ms,3086
<http://www.wikidata.org/entity/Q55488>,1_less_10ms,3834
<http://www.wikidata.org/entity/Q40231>,4_1s_to_10s,1022
<http://www.wikidata.org/entity/Q8054>,3_100ms_to_1s,63057
<http://www.wikidata.org/entity/Q1497375>,4_1s_to_10s,8708
<http://www.wikidata.org/entity/Q847017>,4_1s_to_10s,7169
<http://www.wikidata.org/entity/Q2593777>,4_1s_to_10s,578
<http://www.wikidata.org/entity/Q33506>,5_more_10s,3291
<http://www.wikidata.org/entity/Q34770>,1_less_10ms,77586
<http://www.wikidata.org/entity/Q19389637>,2_10ms_to_100ms,6024
<http://www.wikidata.org/entity/Q207326>,2_10ms_to_100ms,9332
<http://www.wikidata.org/entity/Q735428>,2_10ms_to_100ms,35267
<http://www.wikidata.org/entity/Q15647814>,3_100ms_to_1s,1491
<http://www.wikidata.org/entity/Q107102664>,4_1s_to_10s,34
<http://www.wikidata.org/entity/Q953806>,5_more_10s,17
<http://www.wikidata.org/entity/Q14350>,5_more_10s,290
<http://www.wikidata.org/entity/Q13406554>,3_100ms_to_1s,19126
<http://www.wikidata.org/entity/Q310890>,3_100ms_to_1s,3751
<http://www.wikidata.org/entity/Q56731284>,3_100ms_to_1s,104
<http://www.wikidata.org/entity/Q47521>,3_100ms_to_1s,9902
<http://www.wikidata.org/entity/Q852190>,3_100ms_to_1s,3102
<http://www.wikidata.org/entity/Q210272>,5_more_10s,1256
<http://www.wikidata.org/entity/Q16521>,1_less_10ms,281395
<http://www.wikidata.org/entity/Q55850593>,5_more_10s,23
<http://www.wikidata.org/entity/Q3231690>,4_1s_to_10s,739
<http://www.wikidata.org/entity/Q12284>,5_more_10s,51
<http://www.wikidata.org/entity/Q179049>,2_10ms_to_100ms,24171
<http://www.wikidata.org/entity/Q34770>,2_10ms_to_100ms,1463691
<http://www.wikidata.org/entity/Q1681353>,2_10ms_to_100ms,1001
<http://www.wikidata.org/entity/Q23442>,4_1s_to_10s,21477
<http://www.wikidata.org/entity/Q27020041>,2_10ms_to_100ms,212369
<http://www.wikidata.org/entity/Q1529096>,4_1s_to_10s,7543
<http://www.wikidata.org/entity/Q22969563>,3_100ms_to_1s,1396
<http://www.wikidata.org/entity/Q12280>,1_less_10ms,553
<http://www.wikidata.org/entity/Q49008>,3_100ms_to_1s,933
<http://www.wikidata.org/entity/Q3464665>,2_10ms_to_100ms,223482
<http://www.wikidata.org/entity/Q21014462>,5_more_10s,73
<http://www.wikidata.org/entity/Q187971>,2_10ms_to_100ms,6224
<http://www.wikidata.org/entity/Q751876>,3_100ms_to_1s,16329
<http://www.wikidata.org/entity/Q46135307>,5_more_10s,3
<http://www.wikidata.org/entity/Q7777570>,4_1s_to_10s,326
<http://www.wikidata.org/entity/Q24529780>,1_less_10ms,69
<http://www.wikidata.org/entity/Q179700>,4_1s_to_10s,9762
<http://www.wikidata.org/entity/Q2231510>,1_less_10ms,6
<http://www.wikidata.org/entity/Q105543609>,1_less_10ms,2223
<http://www.wikidata.org/entity/Q953806>,4_1s_to_10s,3535
<http://www.wikidata.org/entity/Q7278>,2_10ms_to_100ms,166771
<http://www.wikidata.org/entity/Q732577>,5_more_10s,2213
<http://www.wikidata.org/entity/Q20541692>,2_10ms_to_100ms,555
<http://www.wikidata.org/entity/Q67035425>,3_100ms_to_1s,45
<http://www.wikidata.org/entity/Q16887380>,1_less_10ms,308
<http://www.wikidata.org/entity/Q55659167>,5_more_10s,10
<http://www.wikidata.org/entity/Q16970>,4_1s_to_10s,14484
<http://www.wikidata.org/entity/Q7604693>,2_10ms_to_100ms,9
<http://www.wikidata.org/entity/Q23413>,1_less_10ms,1201
<http://www.wikidata.org/entity/Q2593777>,3_100ms_to_1s,580
<http://www.wikidata.org/entity/Q189004>,2_10ms_to_100ms,20597
<http://www.wikidata.org/entity/Q108325>,5_more_10s,271
<http://www.wikidata.org/entity/Q62447>,3_100ms_to_1s,6494
<http://www.wikidata.org/entity/Q24354>,2_10ms_to_100ms,44306
<http://www.wikidata.org/entity/Q4164871>,5_more_10s,24170
<http://www.wikidata.org/entity/Q212198>,5_more_10s,33
<http://www.wikidata.org/entity/Q14860489>,3_100ms_to_1s,5978
<http://www.wikidata.org/entity/Q46831>,4_1s_to_10s,6287
<http://www.wikidata.org/entity/Q1303167>,1_less_10ms,31
<http://www.wikidata.org/entity/Q838948>,2_10ms_to_100ms,42541
<http://www.wikidata.org/entity/Q618779>,1_less_10ms,855
<http://www.wikidata.org/entity/Q820477>,5_more_10s,40
<http://www.wikidata.org/entity/Q815382>,1_less_10ms,86
<http://www.wikidata.org/entity/Q1580166>,1_less_10ms,49
<http://www.wikidata.org/entity/Q34023>,3_100ms_to_1s,2062
<http://www.wikidata.org/entity/Q55659167>,2_10ms_to_100ms,5343
<http://www.wikidata.org/entity/Q17524420>,5_more_10s,56
<http://www.wikidata.org/entity/Q23413>,5_more_10s,295
<http://www.wikidata.org/entity/Q3918>,3_100ms_to_1s,71339
<http://www.wikidata.org/entity/Q15416>,3_100ms_to_1s,59225
<http://www.wikidata.org/entity/Q2668072>,2_10ms_to_100ms,26041
<http://www.wikidata.org/entity/Q2116450>,2_10ms_to_100ms,2508
<http://www.wikidata.org/entity/Q5633421>,1_less_10ms,3060
<http://www.wikidata.org/entity/Q1002697>,5_more_10s,593
<http://www.wikidata.org/entity/Q179700>,1_less_10ms,552
<http://www.wikidata.org/entity/Q61443650>,1_less_10ms,17
<http://www.wikidata.org/entity/Q1516079>,2_10ms_to_100ms,4389
<http://www.wikidata.org/entity/Q820477>,4_1s_to_10s,4142
<http://www.wikidata.org/entity/Q6503489>,3_100ms_to_1s,244
<http://www.wikidata.org/entity/Q23397>,3_100ms_to_1s,32488
<http://www.wikidata.org/entity/Q2467461>,3_100ms_to_1s,48106
<http://www.wikidata.org/entity/Q8502>,5_more_10s,493
<http://www.wikidata.org/entity/Q13406554>,5_more_10s,109
<http://www.wikidata.org/entity/Q15632617>,3_100ms_to_1s,70757
<http://www.wikidata.org/entity/Q5185279>,3_100ms_to_1s,35366
<http://www.wikidata.org/entity/Q30612>,1_less_10ms,352
<http://www.wikidata.org/entity/Q235557>,3_100ms_to_1s,78320
<http://www.wikidata.org/entity/Q93184>,1_less_10ms,215
<http://www.wikidata.org/entity/Q11446>,4_1s_to_10s,5970
<http://www.wikidata.org/entity/Q67015883>,5_more_10s,17
<http://www.wikidata.org/entity/Q14860489>,2_10ms_to_100ms,91809
<http://www.wikidata.org/entity/Q23442>,5_more_10s,359
<http://www.wikidata.org/entity/Q55659167>,3_100ms_to_1s,2568
<http://www.wikidata.org/entity/Q11879590>,4_1s_to_10s,1419
