subgraph,count
<http://www.wikidata.org/entity/Q202444>,4832
<http://www.wikidata.org/entity/Q506240>,139490
<http://www.wikidata.org/entity/Q159334>,34549
<http://www.wikidata.org/entity/Q133056>,93472
<http://www.wikidata.org/entity/Q3052382>,12163
<http://www.wikidata.org/entity/Q34038>,77952
<http://www.wikidata.org/entity/Q9842>,86673
<http://www.wikidata.org/entity/Q174782>,96677
<http://www.wikidata.org/entity/Q3914>,69379
<http://www.wikidata.org/entity/Q13406554>,22768
<http://www.wikidata.org/entity/Q24529780>,40056
<http://www.wikidata.org/entity/Q1303167>,66294
<http://www.wikidata.org/entity/Q2514025>,32664
<http://www.wikidata.org/entity/Q618779>,64092
<http://www.wikidata.org/entity/Q814254>,11245
<http://www.wikidata.org/entity/Q732577>,564788
<http://www.wikidata.org/entity/Q49008>,3861
<http://www.wikidata.org/entity/Q1266946>,1652
<http://www.wikidata.org/entity/Q2668072>,165993
<http://www.wikidata.org/entity/Q11060274>,62688
<http://www.wikidata.org/entity/Q19389637>,3737
<http://www.wikidata.org/entity/Q18761202>,11856
<http://www.wikidata.org/entity/Q7321974>,40936
<http://www.wikidata.org/entity/Q14204246>,71618
<http://www.wikidata.org/entity/Q5633421>,23192
<http://www.wikidata.org/entity/Q179049>,103424
<http://www.wikidata.org/entity/Q2085381>,129663
<http://www.wikidata.org/entity/Q953806>,23665
<http://www.wikidata.org/entity/Q928830>,118228
<http://www.wikidata.org/entity/Q571>,21015
<http://www.wikidata.org/entity/Q27686>,232753
<http://www.wikidata.org/entity/Q160091>,59302
<http://www.wikidata.org/entity/Q5783996>,102271
<http://www.wikidata.org/entity/Q1115575>,19153
<http://www.wikidata.org/entity/Q24046192>,407
<http://www.wikidata.org/entity/Q2151232>,34049
<http://www.wikidata.org/entity/Q11879590>,11896
<http://www.wikidata.org/entity/Q21014462>,5249
<http://www.wikidata.org/entity/Q2593777>,76109
<http://www.wikidata.org/entity/Q39614>,154603
<http://www.wikidata.org/entity/Q5707594>,18187
<http://www.wikidata.org/entity/Q22698>,197455
<http://www.wikidata.org/entity/Q852190>,39776
<http://www.wikidata.org/entity/Q12323>,145728
<http://www.wikidata.org/entity/Q34770>,37660
<http://www.wikidata.org/entity/Q15243209>,209765
<http://www.wikidata.org/entity/Q5>,23245152
<http://www.wikidata.org/entity/Q11266439>,19818
<http://www.wikidata.org/entity/Q838948>,62005
<http://www.wikidata.org/entity/Q65954115>,83515
<http://www.wikidata.org/entity/Q15647814>,813
<http://www.wikidata.org/entity/Q735428>,946
<http://www.wikidata.org/entity/Q215380>,304922
<http://www.wikidata.org/entity/Q55659167>,120260
<http://www.wikidata.org/entity/Q149566>,27109
<http://www.wikidata.org/entity/Q26703203>,74684
<http://www.wikidata.org/entity/Q7777570>,5179
<http://www.wikidata.org/entity/Q107102664>,56
<http://www.wikidata.org/entity/Q3508250>,66782
<http://www.wikidata.org/entity/Q815382>,4069
<http://www.wikidata.org/entity/Q985488>,312
<http://www.wikidata.org/entity/Q101352>,5317961
<http://www.wikidata.org/entity/Q26211545>,133286
<http://www.wikidata.org/entity/Q26894053>,13736
<http://www.wikidata.org/entity/Q30612>,127219
<http://www.wikidata.org/entity/Q35127>,82207
<http://www.wikidata.org/entity/Q23925393>,30449
