subgraph,count
<http://www.wikidata.org/entity/Q159334>,54854
<http://www.wikidata.org/entity/Q506240>,161366
<http://www.wikidata.org/entity/Q133056>,103374
<http://www.wikidata.org/entity/Q3052382>,12939
<http://www.wikidata.org/entity/Q34038>,88547
<http://www.wikidata.org/entity/Q9842>,100425
<http://www.wikidata.org/entity/Q174782>,168070
<http://www.wikidata.org/entity/Q3914>,108556
<http://www.wikidata.org/entity/Q13406554>,35480
<http://www.wikidata.org/entity/Q24529780>,45768
<http://www.wikidata.org/entity/Q1303167>,79316
<http://www.wikidata.org/entity/Q2514025>,97857
<http://www.wikidata.org/entity/Q618779>,154376
<http://www.wikidata.org/entity/Q814254>,11319
<http://www.wikidata.org/entity/Q732577>,28989
<http://www.wikidata.org/entity/Q1266946>,2119
<http://www.wikidata.org/entity/Q49008>,2838
<http://www.wikidata.org/entity/Q2668072>,201128
<http://www.wikidata.org/entity/Q11060274>,63682
<http://www.wikidata.org/entity/Q19389637>,11245
<http://www.wikidata.org/entity/Q18761202>,14525
<http://www.wikidata.org/entity/Q7321974>,41389
<http://www.wikidata.org/entity/Q14204246>,362339
<http://www.wikidata.org/entity/Q5633421>,87317
<http://www.wikidata.org/entity/Q179049>,113210
<http://www.wikidata.org/entity/Q2085381>,400347
<http://www.wikidata.org/entity/Q953806>,27583
<http://www.wikidata.org/entity/Q928830>,126606
<http://www.wikidata.org/entity/Q571>,22750
<http://www.wikidata.org/entity/Q27686>,272464
<http://www.wikidata.org/entity/Q160091>,67982
<http://www.wikidata.org/entity/Q5783996>,104266
<http://www.wikidata.org/entity/Q1115575>,259191
<http://www.wikidata.org/entity/Q24046192>,674
<http://www.wikidata.org/entity/Q2151232>,38542
<http://www.wikidata.org/entity/Q11879590>,76237
<http://www.wikidata.org/entity/Q21014462>,8505
<http://www.wikidata.org/entity/Q2593777>,77305
<http://www.wikidata.org/entity/Q5707594>,19118
<http://www.wikidata.org/entity/Q39614>,222141
<http://www.wikidata.org/entity/Q22698>,212102
<http://www.wikidata.org/entity/Q852190>,40055
<http://www.wikidata.org/entity/Q12323>,152248
<http://www.wikidata.org/entity/Q34770>,322587
<http://www.wikidata.org/entity/Q15243209>,109701
<http://www.wikidata.org/entity/Q5>,34680808
<http://www.wikidata.org/entity/Q11266439>,25028
<http://www.wikidata.org/entity/Q838948>,66485
<http://www.wikidata.org/entity/Q65954115>,82996
<http://www.wikidata.org/entity/Q15647814>,3101
<http://www.wikidata.org/entity/Q735428>,131221
<http://www.wikidata.org/entity/Q215380>,390538
<http://www.wikidata.org/entity/Q55659167>,120865
<http://www.wikidata.org/entity/Q26703203>,86681
<http://www.wikidata.org/entity/Q149566>,29795
<http://www.wikidata.org/entity/Q7777570>,5591
<http://www.wikidata.org/entity/Q107102664>,97
<http://www.wikidata.org/entity/Q3508250>,66974
<http://www.wikidata.org/entity/Q815382>,85081
<http://www.wikidata.org/entity/Q985488>,25396
<http://www.wikidata.org/entity/Q101352>,5825877
