subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q4164871>,630525583,175.146,1.141
<http://www.wikidata.org/entity/Q7725634>,150993974,41.943,0.273
<http://www.wikidata.org/entity/Q187223>,37752184,10.487,0.068
<http://www.wikidata.org/entity/Q27671617>,97261,0.027,0.0
<http://www.wikidata.org/entity/Q860861>,95906851,26.641,0.174
<http://www.wikidata.org/entity/Q1260524>,1416039,0.393,0.003
<http://www.wikidata.org/entity/Q59199015>,12092534,3.359,0.022
<http://www.wikidata.org/entity/Q24862>,53746724,14.93,0.097
<http://www.wikidata.org/entity/Q47521>,88602898,24.612,0.16
<http://www.wikidata.org/entity/Q65661087>,39072594,10.853,0.071
<http://www.wikidata.org/entity/Q820655>,23080480,6.411,0.042
<http://www.wikidata.org/entity/Q3957>,164106329,45.585,0.297
<http://www.wikidata.org/entity/Q81505329>,5803767,1.612,0.011
<http://www.wikidata.org/entity/Q47150325>,3871628,1.075,0.007
<http://www.wikidata.org/entity/Q46190676>,4057310,1.127,0.007
<http://www.wikidata.org/entity/Q13100073>,69218049,19.227,0.125
<http://www.wikidata.org/entity/Q728937>,66926334,18.591,0.121
<http://www.wikidata.org/entity/Q15416>,508502798,141.251,0.92
<http://www.wikidata.org/entity/Q61443650>,33772659,9.381,0.061
<http://www.wikidata.org/entity/Q7075>,86878590,24.133,0.157
<http://www.wikidata.org/entity/Q5398426>,1480504011,411.251,2.68
<http://www.wikidata.org/entity/Q459297>,28491029,7.914,0.052
<http://www.wikidata.org/entity/Q39594>,94747149,26.319,0.171
<http://www.wikidata.org/entity/Q121117>,3828675,1.064,0.007
<http://www.wikidata.org/entity/Q476028>,192575435,53.493,0.349
<http://www.wikidata.org/entity/Q86850539>,343696017,95.471,0.622
<http://www.wikidata.org/entity/Q207326>,57914619,16.087,0.105
<http://www.wikidata.org/entity/Q61089180>,44180379,12.272,0.08
<http://www.wikidata.org/entity/Q2042028>,32898914,9.139,0.06
<http://www.wikidata.org/entity/Q210272>,154970485,43.047,0.28
<http://www.wikidata.org/entity/Q19860854>,51596066,14.332,0.093
<http://www.wikidata.org/entity/Q482994>,214134392,59.482,0.388
<http://www.wikidata.org/entity/Q16917>,105359321,29.266,0.191
<http://www.wikidata.org/entity/Q124714>,70324302,19.535,0.127
<http://www.wikidata.org/entity/Q126807>,34476401,9.577,0.062
<http://www.wikidata.org/entity/Q23038290>,18932260,5.259,0.034
<http://www.wikidata.org/entity/Q202444>,47444823,13.179,0.086
<http://www.wikidata.org/entity/Q506240>,81732322,22.703,0.148
<http://www.wikidata.org/entity/Q159334>,45754154,12.709,0.083
<http://www.wikidata.org/entity/Q133056>,52798945,14.666,0.096
<http://www.wikidata.org/entity/Q3052382>,1560504,0.433,0.003
<http://www.wikidata.org/entity/Q34038>,41738093,11.594,0.076
<http://www.wikidata.org/entity/Q9842>,74958630,20.822,0.136
<http://www.wikidata.org/entity/Q174782>,66497153,18.471,0.12
<http://www.wikidata.org/entity/Q3914>,93175648,25.882,0.169
<http://www.wikidata.org/entity/Q13406554>,18716734,5.199,0.034
<http://www.wikidata.org/entity/Q24529780>,33136227,9.205,0.06
<http://www.wikidata.org/entity/Q1303167>,38383949,10.662,0.069
<http://www.wikidata.org/entity/Q618779>,140285152,38.968,0.254
<http://www.wikidata.org/entity/Q2514025>,60845253,16.901,0.11
<http://www.wikidata.org/entity/Q814254>,11289045,3.136,0.02
<http://www.wikidata.org/entity/Q732577>,131452183,36.514,0.238
<http://www.wikidata.org/entity/Q49008>,6693347,1.859,0.012
<http://www.wikidata.org/entity/Q1266946>,2376344,0.66,0.004
<http://www.wikidata.org/entity/Q2668072>,591047222,164.18,1.07
<http://www.wikidata.org/entity/Q11060274>,17135329,4.76,0.031
<http://www.wikidata.org/entity/Q19389637>,4393799,1.22,0.008
<http://www.wikidata.org/entity/Q18761202>,11340970,3.15,0.021
<http://www.wikidata.org/entity/Q14204246>,1973344236,548.151,3.572
<http://www.wikidata.org/entity/Q7321974>,13814431,3.837,0.025
<http://www.wikidata.org/entity/Q5633421>,76118177,21.144,0.138
<http://www.wikidata.org/entity/Q179049>,46440597,12.9,0.084
<http://www.wikidata.org/entity/Q2085381>,134268471,37.297,0.243
<http://www.wikidata.org/entity/Q953806>,21853413,6.07,0.04
<http://www.wikidata.org/entity/Q928830>,94995507,26.388,0.172
<http://www.wikidata.org/entity/Q571>,43815376,12.171,0.079
<http://www.wikidata.org/entity/Q27686>,88321980,24.534,0.16
<http://www.wikidata.org/entity/Q160091>,26898910,7.472,0.049
<http://www.wikidata.org/entity/Q5783996>,45858865,12.739,0.083
<http://www.wikidata.org/entity/Q1115575>,74283241,20.634,0.134
<http://www.wikidata.org/entity/Q24046192>,258168,0.072,0.0
<http://www.wikidata.org/entity/Q2151232>,27424690,7.618,0.05
<http://www.wikidata.org/entity/Q11879590>,51960393,14.433,0.094
<http://www.wikidata.org/entity/Q21014462>,7098722,1.972,0.013
<http://www.wikidata.org/entity/Q2593777>,30884939,8.579,0.056
<http://www.wikidata.org/entity/Q39614>,134853159,37.459,0.244
<http://www.wikidata.org/entity/Q5707594>,2381830,0.662,0.004
<http://www.wikidata.org/entity/Q22698>,105325129,29.257,0.191
<http://www.wikidata.org/entity/Q852190>,22075122,6.132,0.04
<http://www.wikidata.org/entity/Q12323>,72557667,20.155,0.131
<http://www.wikidata.org/entity/Q34770>,523342523,145.373,0.947
<http://www.wikidata.org/entity/Q15243209>,143940225,39.983,0.261
<http://www.wikidata.org/entity/Q5>,18892331770,5247.87,34.195
<http://www.wikidata.org/entity/Q11266439>,77939601,21.65,0.141
<http://www.wikidata.org/entity/Q838948>,79273376,22.02,0.143
