subgraph,count
<http://www.wikidata.org/entity/Q23038290>,122374
<http://www.wikidata.org/entity/Q506240>,268762
<http://www.wikidata.org/entity/Q159334>,60251
<http://www.wikidata.org/entity/Q133056>,107348
<http://www.wikidata.org/entity/Q3052382>,16240
<http://www.wikidata.org/entity/Q34038>,93897
<http://www.wikidata.org/entity/Q9842>,103204
<http://www.wikidata.org/entity/Q174782>,220724
<http://www.wikidata.org/entity/Q3914>,135961
<http://www.wikidata.org/entity/Q13406554>,48081
<http://www.wikidata.org/entity/Q24529780>,46310
<http://www.wikidata.org/entity/Q1303167>,80156
<http://www.wikidata.org/entity/Q2514025>,101307
<http://www.wikidata.org/entity/Q618779>,185105
<http://www.wikidata.org/entity/Q814254>,11762
<http://www.wikidata.org/entity/Q732577>,569536
<http://www.wikidata.org/entity/Q49008>,8906
<http://www.wikidata.org/entity/Q1266946>,2453
<http://www.wikidata.org/entity/Q2668072>,340337
<http://www.wikidata.org/entity/Q11060274>,70269
<http://www.wikidata.org/entity/Q19389637>,12757
<http://www.wikidata.org/entity/Q18761202>,16105
<http://www.wikidata.org/entity/Q14204246>,498708
<http://www.wikidata.org/entity/Q7321974>,41668
<http://www.wikidata.org/entity/Q5633421>,136515
<http://www.wikidata.org/entity/Q179049>,124886
<http://www.wikidata.org/entity/Q2085381>,420459
<http://www.wikidata.org/entity/Q953806>,28488
<http://www.wikidata.org/entity/Q928830>,168217
<http://www.wikidata.org/entity/Q571>,253759
<http://www.wikidata.org/entity/Q27686>,284186
<http://www.wikidata.org/entity/Q160091>,69886
<http://www.wikidata.org/entity/Q5783996>,104702
<http://www.wikidata.org/entity/Q1115575>,274483
<http://www.wikidata.org/entity/Q24046192>,831
<http://www.wikidata.org/entity/Q2151232>,42873
<http://www.wikidata.org/entity/Q11879590>,89904
<http://www.wikidata.org/entity/Q21014462>,15520
<http://www.wikidata.org/entity/Q2593777>,77550
<http://www.wikidata.org/entity/Q39614>,229694
<http://www.wikidata.org/entity/Q5707594>,20386
<http://www.wikidata.org/entity/Q22698>,227584
<http://www.wikidata.org/entity/Q852190>,44490
<http://www.wikidata.org/entity/Q12323>,157874
<http://www.wikidata.org/entity/Q34770>,402013
<http://www.wikidata.org/entity/Q15243209>,242427
<http://www.wikidata.org/entity/Q5>,60868572
<http://www.wikidata.org/entity/Q11266439>,189137
<http://www.wikidata.org/entity/Q838948>,254089
<http://www.wikidata.org/entity/Q65954115>,83527
<http://www.wikidata.org/entity/Q15647814>,3354
<http://www.wikidata.org/entity/Q735428>,132084
<http://www.wikidata.org/entity/Q215380>,585266
<http://www.wikidata.org/entity/Q26703203>,88007
<http://www.wikidata.org/entity/Q149566>,32920
<http://www.wikidata.org/entity/Q55659167>,126108
<http://www.wikidata.org/entity/Q7777570>,7818
<http://www.wikidata.org/entity/Q107102664>,127
<http://www.wikidata.org/entity/Q3508250>,67103
<http://www.wikidata.org/entity/Q815382>,88046
<http://www.wikidata.org/entity/Q985488>,25575
<http://www.wikidata.org/entity/Q101352>,5990617
<http://www.wikidata.org/entity/Q26211545>,151640
<http://www.wikidata.org/entity/Q26894053>,13980
<http://www.wikidata.org/entity/Q30612>,140352
<http://www.wikidata.org/entity/Q35127>,199507
<http://www.wikidata.org/entity/Q23925393>,34363
<http://www.wikidata.org/entity/Q18593264>,45806
<http://www.wikidata.org/entity/Q61278455>,23502
<http://www.wikidata.org/entity/Q3464665>,343500
<http://www.wikidata.org/entity/Q46831>,179601
<http://www.wikidata.org/entity/Q166735>,82214
<http://www.wikidata.org/entity/Q2334719>,55792
<http://www.wikidata.org/entity/Q6451276>,1544
<http://www.wikidata.org/entity/Q3950>,113107
<http://www.wikidata.org/entity/Q54050>,284658
<http://www.wikidata.org/entity/Q1580166>,1302
<http://www.wikidata.org/entity/Q10429085>,3202
<http://www.wikidata.org/entity/Q212198>,279965
<http://www.wikidata.org/entity/Q7604686>,6299
<http://www.wikidata.org/entity/Q22969563>,114004
<http://www.wikidata.org/entity/Q15184295>,2771
<http://www.wikidata.org/entity/Q8436>,53131
