a,b,from_a2b,from_b2a,common_preds,common_items,a_item%,b_item%
Wikimedia list article,painting,42.0,27.0,347.0,0.0,0.0,0.0
building,river,42.0,8.0,407.0,0.0,0.0,0.0
stream,island,42.0,6.0,229.0,0.0,0.0,0.0
film,family name,42.0,5.0,203.0,0.0,0.0,0.0
family name,taxon,42.0,14.0,229.0,0.0,0.0,0.0
lake,mountain,41.0,35.0,443.0,12.0,0.0,0.0
print,position,40.0,0.0,118.0,0.0,0.0,0.0
stream,Wikimedia disambiguation page,40.0,9.0,168.0,0.0,0.0,0.0
street,position,40.0,8.0,242.0,0.0,0.0,0.0
river,hill,38.0,17.0,324.0,0.0,0.0,0.0
scholarly article,Wikimedia list article,37.0,17.0,326.0,0.0,0.0,0.0
family name,position,37.0,6.0,215.0,2.0,0.0,0.0
human,stream,37.0,27.0,191.0,0.0,0.0,0.0
watercourse,encyclopedia article,36.0,27.0,73.0,0.0,0.0,0.0
print,hamlet,36.0,0.0,101.0,0.0,0.0,0.0
hill,Wikimedia disambiguation page,35.0,23.0,212.0,0.0,0.0,0.0
prime number,human,35.0,10.0,88.0,0.0,0.0,0.0
church building,village in India,35.0,2.0,167.0,4.0,0.0,0.0
astronomical object,island,35.0,2.0,302.0,0.0,0.0,0.0
literary work,Wikimedia template,34.0,33.0,150.0,6.0,0.0,0.0
family name,village,34.0,24.0,224.0,0.0,0.0,0.0
village in India,Wikimedia category,34.0,29.0,130.0,0.0,0.0,0.0
cell line,chemical compound,33.0,2.0,47.0,0.0,0.0,0.0
Wikimedia template,protein,33.0,26.0,92.0,0.0,0.0,0.0
Wikinews article,Wikimedia category,33.0,32.0,167.0,12.0,0.0,0.0
prime number,Wikimedia disambiguation page,33.0,2.0,84.0,0.0,0.0,0.0
literary work,river,33.0,14.0,298.0,0.0,0.0,0.0
scholarly article,biographical article,33.0,9.0,104.0,42.0,0.0,0.03
painting,family name,32.0,2.0,205.0,0.0,0.0,0.0
painting,astronomical object,32.0,2.0,263.0,0.0,0.0,0.0
encyclopedia article,church building,32.0,32.0,122.0,0.0,0.0,0.0
painting,film,31.0,25.0,348.0,0.0,0.0,0.0
church building,business,31.0,3.0,637.0,0.0,0.0,0.0
chemical compound,gene,31.0,10.0,162.0,6.0,0.0,0.0
scholarly article,hill,31.0,0.0,158.0,0.0,0.0,0.0
sports season,village,31.0,0.0,175.0,0.0,0.0,0.0
business,river,31.0,13.0,379.0,0.0,0.0,0.0
"version, edition, or translation",family name,31.0,14.0,210.0,0.0,0.0,0.0
scholarly article,collection,30.0,17.0,274.0,0.0,0.0,0.0
collection,architectural structure,30.0,30.0,450.0,2.0,0.0,0.0
business,collection,30.0,17.0,529.0,4.0,0.0,0.0
clinical trial,protein,29.0,0.0,56.0,0.0,0.0,0.0
painting,hill,29.0,1.0,211.0,0.0,0.0,0.0
primary school,hamlet,29.0,6.0,179.0,0.0,0.0,0.0
sports season,island,29.0,0.0,168.0,0.0,0.0,0.0
"version, edition, or translation",building,29.0,22.0,358.0,0.0,0.0,0.0
street,family name,29.0,1.0,170.0,0.0,0.0,0.0
literary work,building,29.0,17.0,434.0,2.0,0.0,0.0
literary work,position,29.0,9.0,371.0,0.0,0.0,0.0
print,house,28.0,2.0,139.0,0.0,0.0,0.0
church building,river,28.0,6.0,371.0,0.0,0.0,0.0
biographical article,literary work,27.0,7.0,111.0,0.0,0.0,0.0
astronomical object,literary work,27.0,24.0,331.0,0.0,0.0,0.0
human,village-level division in China,27.0,1.0,68.0,0.0,0.0,0.0
print,hill,27.0,1.0,111.0,0.0,0.0,0.0
print,building,26.0,1.0,159.0,0.0,0.0,0.0
business,hamlet,26.0,3.0,277.0,0.0,0.0,0.0
hill,hamlet,26.0,5.0,246.0,4.0,0.0,0.0
collection,building,26.0,21.0,482.0,10.0,0.0,0.0
primary school,Wikimedia list article,26.0,0.0,211.0,0.0,0.0,0.0
print,family name,26.0,0.0,109.0,0.0,0.0,0.0
"version, edition, or translation",island,26.0,9.0,273.0,0.0,0.0,0.0
Wikimedia disambiguation page,Wikimedia template,25.0,24.0,144.0,14.0,0.0,0.0
scholarly article,hamlet,25.0,0.0,149.0,0.0,0.0,0.0
position,house,25.0,21.0,263.0,0.0,0.0,0.0
primary school,island,25.0,0.0,245.0,0.0,0.0,0.0
hamlet,Wikimedia list article,25.0,5.0,234.0,0.0,0.0,0.0
building,hill,25.0,5.0,367.0,2.0,0.0,0.0
scholarly article,house,25.0,0.0,218.0,0.0,0.0,0.0
family name,river,25.0,17.0,183.0,0.0,0.0,0.0
"version, edition, or translation",street,24.0,15.0,246.0,0.0,0.0,0.0
film,collection,24.0,0.0,313.0,0.0,0.0,0.0
print,mountain,24.0,0.0,129.0,0.0,0.0,0.0
clinical trial,taxon,23.0,0.0,77.0,0.0,0.0,0.0
architectural structure,Wikimedia disambiguation page,23.0,13.0,323.0,0.0,0.0,0.0
building,encyclopedia article,23.0,20.0,116.0,0.0,0.0,0.0
mountain,family name,23.0,22.0,192.0,0.0,0.0,0.0
print,collection,22.0,7.0,157.0,0.0,0.0,0.0
film,lake,22.0,2.0,232.0,0.0,0.0,0.0
clinical trial,building,22.0,0.0,89.0,0.0,0.0,0.0
hamlet,lake,22.0,5.0,264.0,0.0,0.0,0.0
business,mountain,22.0,10.0,416.0,0.0,0.0,0.0
literary work,family name,22.0,3.0,238.0,0.0,0.0,0.0
house,Wikimedia disambiguation page,22.0,1.0,253.0,0.0,0.0,0.0
position,architectural structure,21.0,16.0,343.0,0.0,0.0,0.0
river,village in India,21.0,13.0,154.0,2.0,0.0,0.0
architectural structure,mountain,21.0,7.0,440.0,2.0,0.0,0.0
primary school,business,21.0,7.0,322.0,16.0,0.01,0.01
album,church building,21.0,2.0,268.0,0.0,0.0,0.0
Wikinews article,business,21.0,2.0,200.0,0.0,0.0,0.0
position,island,21.0,10.0,315.0,0.0,0.0,0.0
church building,hill,20.0,1.0,354.0,2.0,0.0,0.0
film,church building,20.0,1.0,338.0,0.0,0.0,0.0
album,Wikimedia template,20.0,19.0,126.0,0.0,0.0,0.0
river,Wikimedia template,20.0,14.0,114.0,0.0,0.0,0.0
human,protein,20.0,6.0,152.0,0.0,0.0,0.0
scholarly article,Wikimedia category,20.0,11.0,248.0,0.0,0.0,0.0
astronomical object,village,20.0,1.0,280.0,0.0,0.0,0.0
stream,mountain,20.0,9.0,225.0,0.0,0.0,0.0
hamlet,taxon,20.0,18.0,175.0,0.0,0.0,0.0
human,gene,20.0,4.0,125.0,0.0,0.0,0.0
print,business,19.0,1.0,178.0,0.0,0.0,0.0
watercourse,island,19.0,12.0,238.0,0.0,0.0,0.0
lake,Wikimedia list article,19.0,9.0,297.0,4.0,0.0,0.0
house,taxon,19.0,0.0,235.0,0.0,0.0,0.0
stream,encyclopedia article,19.0,15.0,80.0,0.0,0.0,0.0
building,mountain,19.0,6.0,482.0,2.0,0.0,0.0
film,architectural structure,18.0,3.0,324.0,0.0,0.0,0.0
village in India,village,18.0,18.0,186.0,18.0,0.01,0.01
astronomical object,calendar day of a given year,18.0,0.0,49.0,0.0,0.0,0.0
church building,position,18.0,14.0,341.0,0.0,0.0,0.0
album,building,18.0,3.0,274.0,0.0,0.0,0.0
astronomical object,lake,18.0,1.0,256.0,0.0,0.0,0.0
business,village in India,18.0,0.0,158.0,0.0,0.0,0.0
film,astronomical object,17.0,3.0,290.0,0.0,0.0,0.0
album,position,17.0,1.0,217.0,0.0,0.0,0.0
church building,lake,17.0,1.0,391.0,0.0,0.0,0.0
literary work,mountain,16.0,11.0,314.0,2.0,0.0,0.0
protein,Wikimedia disambiguation page,16.0,2.0,161.0,2.0,0.0,0.0
print,human settlement,16.0,0.0,148.0,0.0,0.0,0.0
street,watercourse,16.0,2.0,205.0,2.0,0.0,0.0
item of collection or exhibition,painting,16.0,5.0,217.0,324.0,0.22,0.06
"version, edition, or translation",river,15.0,15.0,235.0,0.0,0.0,0.0
hill,Wikimedia list article,15.0,2.0,243.0,0.0,0.0,0.0
family name,hill,15.0,14.0,153.0,4.0,0.0,0.0
collection,street,15.0,2.0,280.0,0.0,0.0,0.0
album,human settlement,15.0,9.0,252.0,0.0,0.0,0.0
print,lake,15.0,0.0,120.0,0.0,0.0,0.0
film,hill,15.0,9.0,177.0,0.0,0.0,0.0
primary school,Wikimedia disambiguation page,15.0,0.0,172.0,0.0,0.0,0.0
hamlet,position,15.0,13.0,189.0,0.0,0.0,0.0
painting,encyclopedia article,14.0,6.0,125.0,0.0,0.0,0.0
album,village,14.0,9.0,222.0,0.0,0.0,0.0
house,river,14.0,0.0,311.0,0.0,0.0,0.0
clinical trial,gene,14.0,0.0,54.0,0.0,0.0,0.0
painting,album,14.0,7.0,278.0,0.0,0.0,0.0
film,hamlet,14.0,1.0,168.0,0.0,0.0,0.0
print,island,14.0,1.0,126.0,0.0,0.0,0.0
Wikinews article,astronomical object,14.0,0.0,153.0,0.0,0.0,0.0
album,astronomical object,14.0,8.0,226.0,0.0,0.0,0.0
literary work,architectural structure,14.0,6.0,374.0,0.0,0.0,0.0
family name,island,13.0,10.0,195.0,0.0,0.0,0.0
print,architectural structure,13.0,0.0,151.0,0.0,0.0,0.0
"version, edition, or translation",lake,13.0,7.0,231.0,0.0,0.0,0.0
street,encyclopedia article,13.0,12.0,97.0,0.0,0.0,0.0
taxon,hill,13.0,6.0,212.0,0.0,0.0,0.0
literary work,lake,13.0,6.0,293.0,0.0,0.0,0.0
album,island,12.0,5.0,208.0,0.0,0.0,0.0
village in India,Wikimedia disambiguation page,12.0,6.0,137.0,0.0,0.0,0.0
scholarly article,watercourse,12.0,0.0,124.0,0.0,0.0,0.0
building,village in India,12.0,0.0,173.0,0.0,0.0,0.0
Wikimedia list article,calendar day of a given year,12.0,3.0,52.0,6.0,0.0,0.0
sports season,lake,12.0,0.0,163.0,0.0,0.0,0.0
Wikimedia template,human settlement,12.0,7.0,135.0,2.0,0.0,0.0
hill,"version, edition, or translation",12.0,2.0,185.0,0.0,0.0,0.0
item of collection or exhibition,"version, edition, or translation",12.0,2.0,207.0,0.0,0.0,0.0
scholarly article,prime number,12.0,0.0,67.0,0.0,0.0,0.0
item of collection or exhibition,village,12.0,0.0,141.0,0.0,0.0,0.0
film,village in India,12.0,0.0,115.0,0.0,0.0,0.0
building,taxon,11.0,0.0,336.0,0.0,0.0,0.0
group of stereoisomers,encyclopedia article,11.0,7.0,55.0,0.0,0.0,0.0
architectural structure,encyclopedia article,11.0,8.0,108.0,0.0,0.0,0.0
film,chemical compound,11.0,1.0,207.0,0.0,0.0,0.0
mountain,"version, edition, or translation",11.0,11.0,237.0,0.0,0.0,0.0
album,architectural structure,11.0,0.0,244.0,0.0,0.0,0.0
Wikinews article,position,11.0,0.0,148.0,0.0,0.0,0.0
building,lake,11.0,1.0,414.0,0.0,0.0,0.0
biographical article,Wikimedia disambiguation page,11.0,5.0,95.0,0.0,0.0,0.0
film,sports season,11.0,1.0,214.0,2.0,0.0,0.0
sports season,mountain,11.0,0.0,164.0,0.0,0.0,0.0
village in India,encyclopedia article,11.0,8.0,67.0,0.0,0.0,0.0
painting,calendar day of a given year,11.0,0.0,45.0,0.0,0.0,0.0
Wikimedia category,protein,11.0,10.0,110.0,0.0,0.0,0.0
family name,hamlet,10.0,4.0,147.0,0.0,0.0,0.0
painting,chemical compound,10.0,0.0,210.0,0.0,0.0,0.0
scholarly article,street,10.0,0.0,202.0,0.0,0.0,0.0
print,street,10.0,6.0,126.0,0.0,0.0,0.0
taxon,village in India,10.0,3.0,119.0,0.0,0.0,0.0
mountain,hamlet,10.0,6.0,307.0,4.0,0.0,0.0
watercourse,hill,10.0,0.0,215.0,0.0,0.0,0.0
architectural structure,hill,10.0,4.0,345.0,2.0,0.0,0.0
scholarly article,Wikimedia template,10.0,6.0,143.0,0.0,0.0,0.0
painting,stream,9.0,0.0,151.0,0.0,0.0,0.0
primary school,architectural structure,9.0,8.0,323.0,14.0,0.01,0.01
family name,watercourse,9.0,9.0,127.0,2.0,0.0,0.0
item of collection or exhibition,human settlement,9.0,0.0,166.0,0.0,0.0,0.0
business,hill,9.0,8.0,300.0,2.0,0.0,0.0
primary school,church building,9.0,7.0,330.0,16.0,0.01,0.01
"version, edition, or translation",hamlet,9.0,8.0,167.0,0.0,0.0,0.0
Wikimedia template,island,9.0,4.0,122.0,0.0,0.0,0.0
literary work,village in India,9.0,1.0,128.0,0.0,0.0,0.0
house,family name,9.0,1.0,175.0,0.0,0.0,0.0
building,family name,9.0,1.0,222.0,0.0,0.0,0.0
human,cell line,9.0,4.0,44.0,0.0,0.0,0.0
album,family name,9.0,3.0,172.0,0.0,0.0,0.0
literary work,hill,8.0,4.0,224.0,0.0,0.0,0.0
village in India,island,8.0,7.0,176.0,10.0,0.01,0.01
collection,Wikimedia disambiguation page,8.0,2.0,282.0,0.0,0.0,0.0
house,"version, edition, or translation",8.0,6.0,243.0,0.0,0.0,0.0
film,house,8.0,2.0,257.0,0.0,0.0,0.0
literary work,house,8.0,6.0,285.0,0.0,0.0,0.0
Wikimedia category,gene,8.0,5.0,100.0,2.0,0.0,0.0
church building,collection,8.0,5.0,428.0,2.0,0.0,0.0
scholarly article,village in India,8.0,0.0,102.0,0.0,0.0,0.0
biographical article,family name,8.0,2.0,81.0,0.0,0.0,0.0
literary work,chemical compound,8.0,4.0,236.0,0.0,0.0,0.0
item of collection or exhibition,position,8.0,0.0,122.0,0.0,0.0,0.0
collection,position,8.0,6.0,285.0,0.0,0.0,0.0
position,taxon,8.0,5.0,322.0,0.0,0.0,0.0
painting,watercourse,8.0,0.0,151.0,0.0,0.0,0.0
house,primary school,8.0,6.0,299.0,2.0,0.0,0.0
taxon,watercourse,8.0,6.0,165.0,0.0,0.0,0.0
group of stereoisomers,Wikimedia category,8.0,7.0,69.0,0.0,0.0,0.0
street,calendar day of a given year,7.0,0.0,50.0,0.0,0.0,0.0
business,lake,7.0,6.0,377.0,2.0,0.0,0.0
island,collection,7.0,5.0,329.0,2.0,0.0,0.0
architectural structure,lake,7.0,3.0,384.0,8.0,0.01,0.0
clinical trial,"version, edition, or translation",7.0,0.0,101.0,0.0,0.0,0.0
village,village-level division in China,7.0,5.0,73.0,8.0,0.0,0.0
scholarly article,print,7.0,4.0,160.0,0.0,0.0,0.0
astronomical object,chemical compound,7.0,0.0,229.0,0.0,0.0,0.0
hamlet,stream,7.0,5.0,162.0,2.0,0.0,0.0
architectural structure,watercourse,7.0,0.0,218.0,2.0,0.0,0.0
item of collection or exhibition,literary work,7.0,2.0,204.0,42.0,0.03,0.03
Wikimedia category,prime number,7.0,6.0,68.0,0.0,0.0,0.0
stream,taxon,7.0,4.0,164.0,0.0,0.0,0.0
hamlet,watercourse,7.0,5.0,177.0,0.0,0.0,0.0
lake,family name,6.0,1.0,180.0,0.0,0.0,0.0
album,street,6.0,0.0,196.0,0.0,0.0,0.0
scholarly article,item of collection or exhibition,6.0,2.0,166.0,0.0,0.0,0.0
business,watercourse,6.0,5.0,213.0,0.0,0.0,0.0
collection,human settlement,6.0,4.0,396.0,0.0,0.0,0.0
scholarly article,stream,6.0,3.0,127.0,0.0,0.0,0.0
"version, edition, or translation",architectural structure,6.0,4.0,319.0,0.0,0.0,0.0
"version, edition, or translation",gene,6.0,0.0,95.0,0.0,0.0,0.0
collection,house,6.0,4.0,363.0,0.0,0.0,0.0
painting,gene,6.0,1.0,119.0,2.0,0.0,0.0
film,calendar day of a given year,6.0,1.0,51.0,0.0,0.0,0.0
album,mountain,6.0,5.0,191.0,0.0,0.0,0.0
astronomical object,building,6.0,0.0,327.0,0.0,0.0,0.0
house,lake,6.0,0.0,323.0,0.0,0.0,0.0
church building,taxon,6.0,0.0,304.0,0.0,0.0,0.0
business,biographical article,6.0,4.0,108.0,0.0,0.0,0.0
business,village-level division in China,5.0,0.0,67.0,0.0,0.0,0.0
film,Wikimedia template,5.0,5.0,143.0,2.0,0.0,0.0
collection,taxon,5.0,0.0,249.0,0.0,0.0,0.0
street,Wikimedia template,5.0,3.0,116.0,0.0,0.0,0.0
painting,hamlet,5.0,0.0,194.0,0.0,0.0,0.0
Wikinews article,Wikimedia disambiguation page,5.0,0.0,167.0,0.0,0.0,0.0
painting,village in India,5.0,0.0,120.0,0.0,0.0,0.0
primary school,village in India,5.0,0.0,119.0,0.0,0.0,0.0
stream,"version, edition, or translation",5.0,1.0,147.0,0.0,0.0,0.0
album,chemical compound,5.0,1.0,165.0,0.0,0.0,0.0
family name,stream,5.0,4.0,123.0,0.0,0.0,0.0
encyclopedia article,Wikimedia category,5.0,5.0,104.0,0.0,0.0,0.0
house,stream,5.0,0.0,190.0,0.0,0.0,0.0
watercourse,"version, edition, or translation",5.0,0.0,139.0,0.0,0.0,0.0
house,mountain,5.0,0.0,378.0,0.0,0.0,0.0
church building,family name,5.0,0.0,206.0,0.0,0.0,0.0
sports season,position,5.0,0.0,167.0,0.0,0.0,0.0
clinical trial,architectural structure,5.0,0.0,76.0,0.0,0.0,0.0
item of collection or exhibition,island,5.0,0.0,133.0,0.0,0.0,0.0
painting,biographical article,4.0,0.0,100.0,0.0,0.0,0.0
astronomical object,hamlet,4.0,0.0,179.0,0.0,0.0,0.0
item of collection or exhibition,Wikimedia disambiguation page,4.0,0.0,151.0,0.0,0.0,0.0
album,hill,4.0,4.0,140.0,0.0,0.0,0.0
business,protein,4.0,0.0,140.0,0.0,0.0,0.0
film,watercourse,4.0,3.0,146.0,0.0,0.0,0.0
hamlet,literary work,4.0,3.0,196.0,0.0,0.0,0.0
taxon,prime number,4.0,0.0,85.0,0.0,0.0,0.0
literary work,prime number,4.0,0.0,80.0,0.0,0.0,0.0
painting,prime number,4.0,0.0,78.0,0.0,0.0,0.0
Wikinews article,human settlement,4.0,0.0,195.0,0.0,0.0,0.0
clinical trial,human settlement,4.0,0.0,84.0,0.0,0.0,0.0
building,watercourse,4.0,0.0,239.0,0.0,0.0,0.0
village in India,"version, edition, or translation",4.0,2.0,116.0,0.0,0.0,0.0
Wikimedia list article,village in India,4.0,1.0,157.0,0.0,0.0,0.0
house,hill,4.0,0.0,310.0,0.0,0.0,0.0
building,stream,4.0,0.0,221.0,0.0,0.0,0.0
sports season,river,4.0,0.0,155.0,0.0,0.0,0.0
item of collection or exhibition,astronomical object,4.0,2.0,163.0,2.0,0.0,0.0
Wikimedia list article,chemical compound,4.0,2.0,215.0,0.0,0.0,0.0
mountain,village-level division in China,4.0,0.0,69.0,0.0,0.0,0.0
Wikinews article,church building,4.0,0.0,180.0,0.0,0.0,0.0
position,mountain,4.0,0.0,271.0,0.0,0.0,0.0
astronomical object,position,4.0,0.0,273.0,0.0,0.0,0.0
collection,river,3.0,3.0,247.0,0.0,0.0,0.0
scholarly article,calendar day of a given year,3.0,0.0,46.0,0.0,0.0,0.0
family name,architectural structure,3.0,2.0,208.0,0.0,0.0,0.0
position,prime number,3.0,0.0,76.0,0.0,0.0,0.0
church building,watercourse,3.0,0.0,218.0,0.0,0.0,0.0
Wikinews article,mountain,3.0,0.0,162.0,0.0,0.0,0.0
"version, edition, or translation",prime number,3.0,1.0,72.0,0.0,0.0,0.0
print,calendar day of a given year,3.0,0.0,40.0,0.0,0.0,0.0
street,prime number,3.0,0.0,70.0,0.0,0.0,0.0
item of collection or exhibition,film,3.0,1.0,184.0,4.0,0.0,0.0
sports season,prime number,3.0,0.0,62.0,0.0,0.0,0.0
film,prime number,3.0,0.0,75.0,0.0,0.0,0.0
item of collection or exhibition,mountain,3.0,0.0,134.0,0.0,0.0,0.0
film,village-level division in China,3.0,1.0,49.0,0.0,0.0,0.0
architectural structure,taxon,3.0,0.0,307.0,0.0,0.0,0.0
scholarly article,sports season,3.0,0.0,154.0,0.0,0.0,0.0
lake,village in India,3.0,3.0,159.0,2.0,0.0,0.0
hill,lake,3.0,3.0,337.0,0.0,0.0,0.0
hill,village in India,3.0,3.0,140.0,0.0,0.0,0.0
village,chemical compound,3.0,1.0,194.0,0.0,0.0,0.0
Wikinews article,album,3.0,1.0,153.0,0.0,0.0,0.0
collection,Wikimedia template,3.0,3.0,125.0,0.0,0.0,0.0
architectural structure,Wikimedia template,3.0,0.0,124.0,0.0,0.0,0.0
business,group of stereoisomers,3.0,0.0,105.0,0.0,0.0,0.0
biographical article,position,3.0,0.0,87.0,0.0,0.0,0.0
mountain,chemical compound,3.0,2.0,197.0,0.0,0.0,0.0
church building,stream,3.0,0.0,207.0,0.0,0.0,0.0
Wikinews article,building,3.0,0.0,178.0,0.0,0.0,0.0
business,stream,3.0,1.0,201.0,0.0,0.0,0.0
album,river,3.0,1.0,185.0,0.0,0.0,0.0
astronomical object,Wikimedia template,3.0,3.0,124.0,0.0,0.0,0.0
Wikinews article,taxon,3.0,0.0,151.0,0.0,0.0,0.0
hill,collection,3.0,1.0,213.0,0.0,0.0,0.0
item of collection or exhibition,building,3.0,0.0,177.0,0.0,0.0,0.0
architectural structure,stream,3.0,2.0,210.0,0.0,0.0,0.0
scholarly article,Wikinews article,3.0,0.0,150.0,0.0,0.0,0.0
astronomical object,architectural structure,3.0,0.0,312.0,0.0,0.0,0.0
Wikimedia list article,Wikinews article,3.0,2.0,203.0,4.0,0.0,0.0
human,branch post office,3.0,0.0,22.0,0.0,0.0,0.0
biographical article,Wikimedia category,3.0,3.0,84.0,0.0,0.0,0.0
clinical trial,island,3.0,0.0,72.0,0.0,0.0,0.0
hill,astronomical object,3.0,2.0,204.0,0.0,0.0,0.0
stream,hill,3.0,1.0,212.0,0.0,0.0,0.0
clinical trial,collection,3.0,0.0,85.0,0.0,0.0,0.0
clinical trial,literary work,3.0,0.0,100.0,0.0,0.0,0.0
astronomical object,collection,3.0,0.0,252.0,0.0,0.0,0.0
album,collection,3.0,1.0,261.0,0.0,0.0,0.0
Wikinews article,film,3.0,1.0,169.0,0.0,0.0,0.0
group of stereoisomers,"version, edition, or translation",3.0,1.0,83.0,0.0,0.0,0.0
street,biographical article,2.0,0.0,74.0,0.0,0.0,0.0
lake,Wikimedia template,2.0,2.0,108.0,0.0,0.0,0.0
mountain,Wikimedia template,2.0,2.0,116.0,0.0,0.0,0.0
Wikimedia template,building,2.0,2.0,136.0,0.0,0.0,0.0
village in India,family name,2.0,1.0,110.0,0.0,0.0,0.0
item of collection or exhibition,family name,2.0,0.0,114.0,0.0,0.0,0.0
hamlet,collection,2.0,1.0,199.0,0.0,0.0,0.0
sports season,street,2.0,1.0,169.0,0.0,0.0,0.0
sports season,family name,2.0,0.0,121.0,0.0,0.0,0.0
print,Wikimedia list article,2.0,0.0,162.0,0.0,0.0,0.0
sports season,taxon,2.0,0.0,163.0,0.0,0.0,0.0
cell line,protein,2.0,0.0,48.0,0.0,0.0,0.0
literary work,sports season,2.0,0.0,210.0,0.0,0.0,0.0
collection,family name,2.0,0.0,184.0,0.0,0.0,0.0
primary school,river,2.0,0.0,191.0,0.0,0.0,0.0
clinical trial,position,2.0,0.0,80.0,0.0,0.0,0.0
film,stream,2.0,2.0,149.0,0.0,0.0,0.0
Wikinews article,village,2.0,0.0,183.0,0.0,0.0,0.0
lake,chemical compound,2.0,0.0,183.0,0.0,0.0,0.0
primary school,position,2.0,1.0,198.0,0.0,0.0,0.0
encyclopedia article,house,2.0,2.0,98.0,0.0,0.0,0.0
astronomical object,stream,2.0,0.0,160.0,0.0,0.0,0.0
print,item of collection or exhibition,2.0,0.0,169.0,0.0,0.0,0.0
Wikimedia template,chemical compound,2.0,2.0,117.0,0.0,0.0,0.0
street,chemical compound,2.0,0.0,162.0,0.0,0.0,0.0
group of stereoisomers,human,2.0,2.0,110.0,0.0,0.0,0.0
mountain,village in India,2.0,2.0,171.0,0.0,0.0,0.0
village-level division in China,Wikimedia disambiguation page,2.0,1.0,65.0,0.0,0.0,0.0
Wikinews article,river,2.0,0.0,148.0,0.0,0.0,0.0
item of collection or exhibition,hill,2.0,0.0,107.0,0.0,0.0,0.0
building,chemical compound,2.0,0.0,205.0,0.0,0.0,0.0
album,gene,2.0,0.0,92.0,0.0,0.0,0.0
print,album,2.0,0.0,159.0,0.0,0.0,0.0
architectural structure,village in India,2.0,1.0,158.0,0.0,0.0,0.0
primary school,encyclopedia article,2.0,1.0,78.0,0.0,0.0,0.0
primary school,watercourse,2.0,0.0,138.0,0.0,0.0,0.0
branch post office,human settlement,2.0,0.0,22.0,0.0,0.0,0.0
item of collection or exhibition,architectural structure,2.0,0.0,172.0,0.0,0.0,0.0
scholarly article,primary school,2.0,0.0,152.0,0.0,0.0,0.0
protein,"version, edition, or translation",2.0,0.0,115.0,0.0,0.0,0.0
lake,collection,2.0,0.0,256.0,0.0,0.0,0.0
Wikinews article,prime number,2.0,0.0,53.0,0.0,0.0,0.0
mountain,prime number,2.0,0.0,76.0,0.0,0.0,0.0
"version, edition, or translation",cell line,2.0,0.0,37.0,0.0,0.0,0.0
literary work,calendar day of a given year,2.0,0.0,52.0,0.0,0.0,0.0
Wikinews article,street,2.0,0.0,155.0,0.0,0.0,0.0
mountain,collection,2.0,0.0,281.0,0.0,0.0,0.0
house,prime number,2.0,0.0,68.0,0.0,0.0,0.0
building,village-level division in China,2.0,0.0,65.0,0.0,0.0,0.0
Wikinews article,family name,2.0,0.0,129.0,0.0,0.0,0.0
church building,village-level division in China,2.0,0.0,67.0,0.0,0.0,0.0
watercourse,Wikimedia list article,2.0,1.0,185.0,0.0,0.0,0.0
collection,encyclopedia article,2.0,1.0,114.0,0.0,0.0,0.0
watercourse,literary work,2.0,0.0,171.0,0.0,0.0,0.0
biographical article,collection,2.0,0.0,85.0,0.0,0.0,0.0
river,position,1.0,1.0,264.0,0.0,0.0,0.0
"version, edition, or translation",primary school,1.0,0.0,178.0,0.0,0.0,0.0
Wikimedia template,village,1.0,1.0,123.0,0.0,0.0,0.0
house,astronomical object,1.0,0.0,235.0,0.0,0.0,0.0
scholarly article,village-level division in China,1.0,0.0,49.0,0.0,0.0,0.0
river,village-level division in China,1.0,1.0,67.0,0.0,0.0,0.0
primary school,hill,1.0,0.0,188.0,0.0,0.0,0.0
house,village-level division in China,1.0,0.0,63.0,0.0,0.0,0.0
primary school,mountain,1.0,0.0,221.0,0.0,0.0,0.0
island,village-level division in China,1.0,1.0,72.0,0.0,0.0,0.0
Wikimedia template,stream,1.0,1.0,83.0,0.0,0.0,0.0
river,chemical compound,1.0,0.0,190.0,0.0,0.0,0.0
encyclopedia article,village-level division in China,1.0,0.0,42.0,0.0,0.0,0.0
position,hill,1.0,0.0,198.0,0.0,0.0,0.0
literary work,stream,1.0,1.0,164.0,0.0,0.0,0.0
album,house,1.0,0.0,202.0,0.0,0.0,0.0
human settlement,chemical compound,1.0,1.0,238.0,0.0,0.0,0.0
print,astronomical object,1.0,0.0,139.0,0.0,0.0,0.0
lake,position,1.0,1.0,250.0,0.0,0.0,0.0
Wikimedia template,Wikinews article,1.0,1.0,94.0,2.0,0.0,0.0
protein,painting,1.0,1.0,135.0,0.0,0.0,0.0
position,calendar day of a given year,1.0,0.0,49.0,0.0,0.0,0.0
"version, edition, or translation",calendar day of a given year,1.0,0.0,51.0,0.0,0.0,0.0
Wikinews article,painting,1.0,1.0,170.0,0.0,0.0,0.0
album,sports season,1.0,0.0,176.0,0.0,0.0,0.0
church building,calendar day of a given year,1.0,0.0,49.0,0.0,0.0,0.0
sports season,painting,1.0,1.0,177.0,0.0,0.0,0.0
village,calendar day of a given year,1.0,0.0,47.0,0.0,0.0,0.0
stream,collection,1.0,0.0,160.0,0.0,0.0,0.0
album,calendar day of a given year,1.0,0.0,47.0,0.0,0.0,0.0
architectural structure,Wikinews article,1.0,1.0,163.0,0.0,0.0,0.0
Wikimedia template,painting,1.0,1.0,142.0,0.0,0.0,0.0
literary work,primary school,1.0,1.0,191.0,0.0,0.0,0.0
