human,river,"version, edition, or translation",primary school,Wikimedia category,hamlet,Wikimedia disambiguation page,business,building,church building,architectural structure,encyclopedia article,Wikimedia list article,film,clinical trial,island,human settlement,painting,position,house,literary work,village,album,taxon,scholarly article,hill,street,gene,lake,sports season,mountain,astronomical object,group of stereoisomers,Wikinews article,item of collection or exhibition,chemical compound,collection,village-level division in China,family name,print,protein,village in India,cell line,prime number,Wikimedia template,stream,watercourse,biographical article,branch post office,calendar day of a given year
4,0,0,0,5,0,82,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,105,36,0,0,242673,0,0,0,0,0,0,0,10,0,0,0,0,937527,0,0,0,26,0,0,0,0,0
318,6161,7,0,385,5,146,6,1,1,3,308,19,2,0,199,129,3,1,0,6,182,0,65,0,3,8,0,233984,0,41,1,0,0,0,2,2,0,6,0,0,3,0,0,2,360,367,0,0,0
7007,4,1,0,6814,1,93,109,58,0,58,0,227,1,0,29,92,1,5,0,0,31,0,2,0,1,2,0,12,158571,11,0,0,1,0,0,0,0,2,0,0,0,0,3,247,0,1,0,0,0
816,95,11,0,2368,10,210,10,6,38,7,348,109,16,0,496,374,6,0,0,11,130,5,27,2,8470,9,0,35,0,511433,15,0,0,0,3,2,4,23,0,0,2,0,2,2,9,2,0,0,0
5110,67,23,0,2047,4,127,145,6,0,3,267,44,3,0,35,59,2,4,0,27,20,8,196,973,2,1,0,18,0,77,567288,0,0,2,7,3,0,0,0,0,0,0,1,3,2,1,0,0,18
2,0,3,0,8,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,25789,16,0,0,0,0,0,0,0,610,0,0,127,0,0,0,0,60,0,0,0,0,0,0,0,0,0
481,2,83,0,33,0,5,21,3,4,1,0,2,3,0,1,4,1,11,0,1,2,3,3,0,0,2,0,0,58,3,14,0,286959,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,297
518,0,12,0,1,0,4,45,3,0,2,0,0,3,0,5,9,16,8,0,7,12,0,52,2,2,0,0,0,0,3,4,0,0,1179,1,1214,0,2,0,0,0,0,0,0,0,0,0,0,0
98,0,12,0,195,0,48,14,0,0,0,420,2,1,1,1,1,0,0,0,4,1,1,35173,136,0,0,31,0,0,2,0,407,0,0,28553,0,0,0,0,839,0,2,0,2,0,0,0,0,0
1099,3,120,0,71,1,8,17,26,5,30,2,62,0,0,5,6,22,8,6,65,54,1,5,17,1,15,0,0,0,0,0,0,0,0,0,5875,0,2,7,0,0,0,0,3,0,0,0,0,0
1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,61,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,1,0,0,0,0,0,0,0,0,0,0,0
163,25,14,0,848,10,127352,27,1,0,3,114,20,5,0,13,79,2,37,1,3,34,3,42,30,15,1,0,1,0,22,0,0,0,0,0,0,0,142403,0,0,1,1,0,1,5,9,2,0,0
13499,97,45,0,1,36,48,19,26,141,13,1,2,0,0,14,16,49,40,28,96,219,2,66,4,27,10,1,15,0,24,1,0,0,2,0,22,0,26,449,0,0,0,0,0,0,1,1,0,3
6,0,2,0,10,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,302,3003,0,0,938854,0,0,0,0,26,0,0,1382,0,0,0,0,7504,0,0,0,26,0,0,0,0,0
10,13,4,0,34,1,12,0,0,2,1,11,1,0,0,8,228,0,1,0,1,18,0,3,0,3,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,97851,0,0,0,0,1,0,0,0
4,0,0,0,0,0,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,706,19405,0,0,0,0,0,0,0,1,0,0,33,0,0,1,0,2,0,16937,0,0,0,0,0,0,0
35,0,1,0,6,0,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127504,0,0,0,0,0,0
827,14,68,0,149,0,24,115,2,0,0,0,203,5,0,9,12,1,200,0,33,1,19,284,6,0,3,98,2,253,2,3,0,1,0,2,3,0,1,0,33,0,0,0,844472,1,0,0,0,0
27,3682,5,0,102,5,40,1,0,0,2,19,0,2,0,42,60,0,0,0,1,50,0,7,3,3,5,0,433,0,20,0,0,0,0,0,1,0,4,0,0,0,0,0,1,124009,414,0,0,0
35,9409,5,0,96,5,44,5,0,0,0,36,2,3,0,19,59,0,0,0,2,68,0,6,0,10,2,0,329,0,86,0,0,0,0,0,1,0,9,0,0,1,0,0,0,414,174349,0,0,0
90510,0,139,0,3,0,11,4,0,0,0,1297,0,0,0,0,1,0,3,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,151857,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,6461,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189363
