subject_subgraph,object_subgraph,count,subject_subgraph_label,object_subgraph_label
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q13433827>,8,Wikimedia disambiguation page,encyclopedia article
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q3331189>,8,house,"version, edition, or translation"
<http://www.wikidata.org/entity/Q7725634>,<http://www.wikidata.org/entity/Q11173>,8,literary work,chemical compound
<http://www.wikidata.org/entity/Q532>,<http://www.wikidata.org/entity/Q41176>,8,village,building
<http://www.wikidata.org/entity/Q4022>,<http://www.wikidata.org/entity/Q41176>,8,river,building
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q79007>,8,lake,street
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q811979>,8,encyclopedia article,architectural structure
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q4164871>,8,island,position
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q7725634>,7,island,literary work
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q11424>,7,street,film
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q4830453>,7,hill,business
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q79007>,7,Wikimedia list article,street
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q3305213>,7,album,painting
<http://www.wikidata.org/entity/Q2668072>,<http://www.wikidata.org/entity/Q11060274>,7,collection,print
<http://www.wikidata.org/entity/Q3305213>,<http://www.wikidata.org/entity/Q11173>,7,painting,chemical compound
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q6999>,7,human settlement,astronomical object
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q355304>,7,architectural structure,watercourse
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q16521>,7,stream,taxon
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q3305213>,7,street,painting
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q3331189>,7,lake,"version, edition, or translation"
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q49008>,7,Wikimedia category,prime number
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q47150325>,7,street,calendar day of a given year
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q7187>,7,Wikimedia category,gene
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q59199015>,7,Wikimedia category,group of stereoisomers
<http://www.wikidata.org/entity/Q30612>,<http://www.wikidata.org/entity/Q3331189>,7,clinical trial,"version, edition, or translation"
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q23397>,7,Wikimedia disambiguation page,lake
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q11060274>,7,scholarly article,print
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q59199015>,7,encyclopedia article,group of stereoisomers
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q49008>,7,human,prime number
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q355304>,7,hamlet,watercourse
<http://www.wikidata.org/entity/Q8054>,<http://www.wikidata.org/entity/Q5>,6,protein,human
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q11060274>,6,street,print
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q8502>,6,album,mountain
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q47521>,6,scholarly article,stream
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q811979>,6,"version, edition, or translation",architectural structure
<http://www.wikidata.org/entity/Q4022>,<http://www.wikidata.org/entity/Q16970>,6,river,church building
<http://www.wikidata.org/entity/Q11266439>,<http://www.wikidata.org/entity/Q13442814>,6,Wikimedia template,scholarly article
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q79007>,6,album,street
<http://www.wikidata.org/entity/Q49008>,<http://www.wikidata.org/entity/Q4167836>,6,prime number,Wikimedia category
<http://www.wikidata.org/entity/Q355304>,<http://www.wikidata.org/entity/Q16521>,6,watercourse,taxon
<http://www.wikidata.org/entity/Q11424>,<http://www.wikidata.org/entity/Q47150325>,6,film,calendar day of a given year
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q41176>,6,astronomical object,building
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q11173>,6,astronomical object,chemical compound
<http://www.wikidata.org/entity/Q2668072>,<http://www.wikidata.org/entity/Q3947>,6,collection,house
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q16521>,6,hill,taxon
<http://www.wikidata.org/entity/Q4164871>,<http://www.wikidata.org/entity/Q79007>,6,position,street
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q101352>,6,lake,family name
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q3947>,6,"version, edition, or translation",house
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q23397>,6,house,lake
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q47521>,6,hamlet,stream
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q47521>,6,island,stream
<http://www.wikidata.org/entity/Q8502>,<http://www.wikidata.org/entity/Q79007>,6,mountain,street
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q41176>,6,hamlet,building
<http://www.wikidata.org/entity/Q4164871>,<http://www.wikidata.org/entity/Q2668072>,6,position,collection
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q56436498>,6,Wikimedia disambiguation page,village in India
<http://www.wikidata.org/entity/Q2668072>,<http://www.wikidata.org/entity/Q486972>,6,collection,human settlement
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q7725634>,6,house,literary work
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q18593264>,6,scholarly article,item of collection or exhibition
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q11266439>,6,human settlement,Wikimedia template
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q355304>,6,business,watercourse
<http://www.wikidata.org/entity/Q8502>,<http://www.wikidata.org/entity/Q3305213>,6,mountain,painting
<http://www.wikidata.org/entity/Q41176>,<http://www.wikidata.org/entity/Q3305213>,6,building,painting
<http://www.wikidata.org/entity/Q8502>,<http://www.wikidata.org/entity/Q811979>,6,mountain,architectural structure
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q7725634>,6,architectural structure,literary work
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q7725634>,6,lake,literary work
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q9842>,6,hamlet,primary school
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q4164871>,6,item of collection or exhibition,position
<http://www.wikidata.org/entity/Q2668072>,<http://www.wikidata.org/entity/Q4167410>,6,collection,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q3305213>,6,encyclopedia article,painting
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q11173>,5,album,chemical compound
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q23397>,5,business,lake
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q13442814>,5,human settlement,scholarly article
<http://www.wikidata.org/entity/Q30612>,<http://www.wikidata.org/entity/Q811979>,5,clinical trial,architectural structure
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q79007>,5,stream,street
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q4167836>,5,gene,Wikimedia category
<http://www.wikidata.org/entity/Q355304>,<http://www.wikidata.org/entity/Q3331189>,5,watercourse,"version, edition, or translation"
