subject_subgraph,object_subgraph,count,subject_subgraph_label,object_subgraph_label
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q54050>,3,stream,hill
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q7725634>,3,family name,literary work
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q482994>,3,Wikinews article,album
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q54050>,3,hamlet,hill
<http://www.wikidata.org/entity/Q30612>,<http://www.wikidata.org/entity/Q7725634>,3,clinical trial,literary work
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q4167410>,3,item of collection or exhibition,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q2668072>,3,astronomical object,collection
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q41176>,3,island,building
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q13433827>,3,taxon,encyclopedia article
<http://www.wikidata.org/entity/Q9842>,<http://www.wikidata.org/entity/Q811979>,3,primary school,architectural structure
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q811979>,3,family name,architectural structure
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q811979>,3,astronomical object,architectural structure
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q41176>,3,Wikinews article,building
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q41176>,3,item of collection or exhibition,building
